"日付","開催","天気","R","レース名","映像","頭数","枠番","馬番","オッズ","人気","着順","騎手","斤量","距離","馬場","馬場指数","タイム","着差","ﾀｲﾑ指数","通過","ペース","上り","馬体重","厩舎ｺﾒﾝﾄ","備考","勝ち馬(2着馬)","賞金"
"2006/02/25","1阪神1","晴","10","御堂筋S(1600万下)","","13","8","12","27.6","7","1","藤田伸二","55","芝2500","良","**","2:33.6","-0.1","**","12-13-13-10","29.3-37.3","36.1","458(-2)","","","(ストラタジェム)","1857.3"
"2006/01/29","2京都2","晴","10","松籟S(1600万下)","","11","8","10","45.5","7","5","池添謙一","54","芝2400","良","**","2:26.3","0.4","**","8-7-7-10","36.0-35.4","34.6","460(-6)","","","オースミグラスワン","183.0"
"2006/01/07","1京都2","晴","11","万葉S(OP)","","10","8","9","49.8","9","8","赤木高太","52","芝3000","良","**","3:07.9","2.3","**","6-6-6-9","38.3-35.8","37.4","466(+10)","","","ファストタテヤマ",""
"2005/11/13","5京都4","曇","11","エリザベス女王杯(G1)","","18","5","10","121.1","16","18","福永祐一","56","芝2200","良","","2:14.7","2.2","","17-17-17-17","35.1-34.7","34.6","456(+4)","","","スイープトウショウ",""
"2005/10/29","4京都7","曇","10","比叡S(1600万下)","","7","6","6","8.9","4","4","藤田伸二","55","芝2400","重","","2:28.6","0.3","","4-4-4-4","37.4-35.1","35.1","452(+2)","","","トウカイトリック","270.0"
"2005/10/16","4東京4","曇","11","府中牝馬S(G3)","","17","8","17","148.5","16","14","石橋脩","55","芝1800","稍","","1:47.8","1.1","","13-14-14","36.4-33.9","33.4","450(-14)","","","ヤマニンアラバスタ",""
"2005/09/11","2札幌2","晴","11","札幌日経OP(OP)","","14","2","2","12.5","6","10","藤田伸二","54","芝2600","良","","2:45.0","2.0","","8-9-8-8","39.1-36.4","37.1","464(+4)","","","ダディーズドリーム",""
"2005/08/06","2函館7","晴","9","みなみ北海道S(OP)","","9","4","4","16.3","6","5","北村宏司","52","芝2600","良","","2:45.3","0.9","","5-5-7-8","38.6-35.5","35.9","460(-2)","","","ゴーウィズウィンド","240.0"
"2005/04/09","2阪神5","晴","11","大阪ーハンブルクC(OP)","","12","2","2","9.5","5","8","佐藤哲三","53","芝2500","良","","2:33.3","0.8","","9-9-9-7","31.2-34.8","35.0","462(+12)","","","ビッグゴールド",""
"2005/03/12","2中山5","曇","11","中山牝馬S(G3)","","16","5","9","18.7","7","13","四位洋文","54","芝1800","良","","1:50.3","0.6","","12-12-12-12","37.7-35.2","34.8","450(-8)","","","ウイングレット",""
"2005/02/26","1阪神1","曇","10","御堂筋S(1600万下)","","8","8","8","16.8","5","3","藤田伸二","56","芝2500","良","","2:34.5","0.1","","8-8-8-8","31.0-34.8","34.2","458(0)","","","オペラシチー","453.0"
"2005/01/30","2京都2","晴","10","松籟S(1600万下)","","13","4","5","44.5","9","1","藤田伸二","54","芝2400","良","","2:25.6","0.0","","10-9-9-11","35.1-36.7","34.2","458(+2)","","","(メガスターダム)","1277.6"
"2005/01/05","1京都1","晴","10","寿S(1600万下)","","11","6","6","50.1","9","5","藤田伸二","55","芝1800","良","","1:48.9","0.5","","9-11","36.3-34.4","34.2","456(+6)","","","エアセレソン","180.0"
"2004/12/19","5阪神6","曇","11","サンスポ杯阪神牝馬S(G2)","","16","2","4","187.1","16","7","小林徹弥","55","芝1600","良","","1:34.5","0.5","","7-8-11","35.5-34.9","34.6","450(-2)","","","ヘヴンリーロマンス",""
"2004/12/05","5阪神2","晴","12","ゴールデンブーツT(1000万下)","","13","5","8","46.4","12","1","ホワイト","56","芝2000","良","","2:00.3","-0.2","","3-3-3-4","36.9-36.0","35.8","452(+2)","","","(フィレンツェ)","1487.8"
